service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
82.0.1,1,1,1,1,1,0,0,20250105,20250705
82.0.2,0,0,0,0,0,1,0,20250105,20250705
82.0.3,0,0,0,0,0,0,1,20250105,20250705
82.1.1,0,0,0,0,0,0,0,20250105,20250705
82.10.1,0,0,0,0,0,0,0,20250105,20250705
82.2.1,0,0,0,0,0,0,0,20250105,20250705
82.3.1,0,0,0,0,0,0,0,20250105,20250705
82.4.1,0,0,0,0,0,0,0,20250105,20250705
82.71.3,0,0,0,0,0,0,0,20250105,20250705
82.9.1,0,0,0,0,0,0,0,20250105,20250705
82.78.3,0,0,0,0,0,0,0,20250105,20250705
82.72.3,0,0,0,0,0,0,0,20250105,20250705
82.64.2,0,0,0,0,0,0,0,20250105,20250705
82.69.2,0,0,0,0,0,0,0,20250105,20250705
82.86.2,0,0,0,0,0,0,0,20250105,20250705
