service_id,date,exception_type
82.72.3,20250105,1
82.2.1,20250106,1
82.4.1,20250106,1
82.10.1,20250106,1
82.2.1,20250107,1
82.4.1,20250107,1
82.10.1,20250107,1
82.2.1,20250108,1
82.3.1,20250108,1
82.9.1,20250108,1
82.2.1,20250109,1
82.3.1,20250109,1
82.9.1,20250109,1
82.86.2,20250110,1
82.0.2,20250110,1
82.0.1,20250110,2
82.71.3,20250112,1
82.2.1,20250113,1
82.3.1,20250113,1
82.9.1,20250113,1
82.2.1,20250114,1
82.3.1,20250114,1
82.9.1,20250114,1
82.2.1,20250115,1
82.3.1,20250115,1
82.9.1,20250115,1
82.2.1,20250116,1
82.3.1,20250116,1
82.9.1,20250116,1
82.2.1,20250117,1
82.3.1,20250117,1
82.9.1,20250117,1
82.71.3,20250119,1
82.0.2,20250120,1
82.0.1,20250120,2
82.2.1,20250121,1
82.3.1,20250121,1
82.9.1,20250121,1
82.2.1,20250122,1
82.3.1,20250122,1
82.9.1,20250122,1
82.2.1,20250123,1
82.3.1,20250123,1
82.9.1,20250123,1
82.2.1,20250124,1
82.3.1,20250124,1
82.9.1,20250124,1
82.71.3,20250126,1
82.2.1,20250127,1
82.3.1,20250127,1
82.9.1,20250127,1
82.2.1,20250128,1
82.3.1,20250128,1
82.9.1,20250128,1
82.2.1,20250129,1
82.3.1,20250129,1
82.9.1,20250129,1
82.2.1,20250130,1
82.3.1,20250130,1
82.9.1,20250130,1
82.2.1,20250131,1
82.3.1,20250131,1
82.9.1,20250131,1
82.71.3,20250202,1
82.2.1,20250203,1
82.3.1,20250203,1
82.9.1,20250203,1
82.2.1,20250204,1
82.3.1,20250204,1
82.9.1,20250204,1
82.2.1,20250205,1
82.3.1,20250205,1
82.9.1,20250205,1
82.2.1,20250206,1
82.3.1,20250206,1
82.9.1,20250206,1
82.2.1,20250207,1
82.3.1,20250207,1
82.9.1,20250207,1
82.71.3,20250209,1
82.2.1,20250210,1
82.3.1,20250210,1
82.9.1,20250210,1
82.2.1,20250211,1
82.3.1,20250211,1
82.9.1,20250211,1
82.2.1,20250212,1
82.3.1,20250212,1
82.9.1,20250212,1
82.2.1,20250213,1
82.3.1,20250213,1
82.9.1,20250213,1
82.2.1,20250214,1
82.3.1,20250214,1
82.9.1,20250214,1
82.71.3,20250216,1
82.2.1,20250217,1
82.4.1,20250217,1
82.10.1,20250217,1
82.2.1,20250218,1
82.3.1,20250218,1
82.9.1,20250218,1
82.2.1,20250219,1
82.3.1,20250219,1
82.9.1,20250219,1
82.2.1,20250220,1
82.3.1,20250220,1
82.9.1,20250220,1
82.2.1,20250221,1
82.3.1,20250221,1
82.9.1,20250221,1
82.71.3,20250223,1
82.2.1,20250224,1
82.3.1,20250224,1
82.9.1,20250224,1
82.2.1,20250225,1
82.3.1,20250225,1
82.9.1,20250225,1
82.2.1,20250226,1
82.3.1,20250226,1
82.9.1,20250226,1
82.2.1,20250227,1
82.3.1,20250227,1
82.9.1,20250227,1
82.2.1,20250228,1
82.3.1,20250228,1
82.9.1,20250228,1
82.71.3,20250302,1
82.2.1,20250303,1
82.3.1,20250303,1
82.9.1,20250303,1
82.2.1,20250304,1
82.3.1,20250304,1
82.9.1,20250304,1
82.2.1,20250305,1
82.3.1,20250305,1
82.9.1,20250305,1
82.2.1,20250306,1
82.3.1,20250306,1
82.9.1,20250306,1
82.1.1,20250307,1
82.4.1,20250307,1
82.9.1,20250307,1
82.71.3,20250309,1
82.2.1,20250310,1
82.4.1,20250310,1
82.10.1,20250310,1
82.2.1,20250311,1
82.4.1,20250311,1
82.10.1,20250311,1
82.2.1,20250312,1
82.4.1,20250312,1
82.10.1,20250312,1
82.2.1,20250313,1
82.4.1,20250313,1
82.10.1,20250313,1
82.2.1,20250314,1
82.4.1,20250314,1
82.10.1,20250314,1
82.71.3,20250316,1
82.2.1,20250317,1
82.3.1,20250317,1
82.9.1,20250317,1
82.2.1,20250318,1
82.3.1,20250318,1
82.9.1,20250318,1
82.2.1,20250319,1
82.3.1,20250319,1
82.9.1,20250319,1
82.2.1,20250320,1
82.3.1,20250320,1
82.9.1,20250320,1
82.2.1,20250321,1
82.3.1,20250321,1
82.9.1,20250321,1
82.71.3,20250323,1
82.2.1,20250324,1
82.3.1,20250324,1
82.9.1,20250324,1
82.2.1,20250325,1
82.3.1,20250325,1
82.9.1,20250325,1
82.2.1,20250326,1
82.3.1,20250326,1
82.9.1,20250326,1
82.2.1,20250327,1
82.3.1,20250327,1
82.9.1,20250327,1
82.2.1,20250328,1
82.3.1,20250328,1
82.9.1,20250328,1
82.71.3,20250330,1
82.2.1,20250331,1
82.3.1,20250331,1
82.9.1,20250331,1
82.2.1,20250401,1
82.3.1,20250401,1
